OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
2558,Runway Centreline,5,D5412,2006-05-09,,1006217,0,,0.00895349093929,"LINESTRING (142.9644 -14.869889999999998, 142.96465 -14.878839999999997)"
2559,Runway Centreline,5,D5412,2006-05-09,,1006218,0,,0.00995600321414,"LINESTRING (142.79469 -14.87847, 142.80265 -14.884450000000001)"
2560,Runway Centreline,5,D5412,2006-05-09,,1006219,0,,0.00838587502887,"LINESTRING (142.99143 -14.079210000000003, 142.99945 -14.08166)"
2561,Runway Centreline,5,D5412,2006-05-09,,1006220,0,,0.00567297100292,"LINESTRING (143.875 -14.53906, 143.87635 -14.54457)"
2562,Runway Centreline,5,D5412,2006-05-09,,1006221,0,,0.00755493216384,"LINESTRING (143.05058 -14.742179999999998, 143.05797 -14.743749999999999)"
2564,Runway Centreline,5,H5306,2006-05-09,,1002869,706,,0.0142489438205,"LINESTRING (134.72596 -29.03574, 134.71466 -29.04442)"
2579,Runway Centreline,5,I5602,2006-05-09,,1003984,706,,0.0244341011703,"LINESTRING (151.84494 -32.803020000000004, 151.82506999999998 -32.7888)"
2580,Runway Centreline,5,I5602,2006-05-09,,1003985,0,,0.00608871086519,"LINESTRING (151.71561 -32.49988, 151.71881 -32.4947)"
2581,Runway Centreline,5,I5602,2006-05-09,,1003986,0,,0.00707424907675,"LINESTRING (151.6516 -32.79725, 151.64463 -32.79604)"
2582,Runway Centreline,5,I5602,2006-05-09,,1003987,0,,0.00487947743104,"LINESTRING (151.86822999999998 -32.30328, 151.86666 -32.29866)"
2583,Runway Centreline,5,I5602,2006-05-09,,1003988,0,,0.0063952873274,"LINESTRING (151.9768 -32.055930000000004, 151.97654 -32.04954)"
2584,Runway Centreline,5,I5602,2006-05-09,,1003989,0,,0.0167124205308,"LINESTRING (152.47436 -32.20581, 152.48928999999998 -32.1983)"
2585,Runway Centreline,5,I5602,2006-05-09,,1003990,0,,0.00632266557711,"LINESTRING (152.59151 -31.96894, 152.59190999999998 -31.96263)"
